,_Player_,_Born_,_Squad_,defense_Blocks_Blocks,defense_Tackles_Tkl,defense_Tackles_TklW,defense_Tackles_Def 3rd,defense_Tackles_Mid 3rd,defense_Tackles_Att 3rd,defense__Int,defense__Clr,possession_Touches_Def Pen,possession_Touches_Def 3rd,possession_Touches_Mid 3rd,possession_Touches_Att 3rd,possession_Touches_Att Pen,possession_Touches_Touches,passing_Total_Att,passing_Short_Att,passing_Medium_Att,passing_Long_Att,passing__KP,passing__CrsPA,passing__PrgP,possession_Carries_PrgDist,possession_Carries_TotDist,possession_Receiving_Rec,possession_Receiving_PrgR,possession_Take-Ons_Att,possession_Take-Ons_Succ,gca_SCATypes_TO,gca_SCATypes_Sh,gca_SCATypes_Fld,gca_SCATypes_Def,gca_SCATypes_PassLive,gca_SCATypes_PassDead,shooting_Standard_Dist,shooting_Expected_npxG,playingtime_PlayingTime_Min,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_AerialDuels_Won,misc_AerialDuels_Lost
16,Christopher Antwi-Adjei,1994,Bochum,-0.16103896103896106,-0.27045075125208684,-0.23180592991913748,-0.5397923875432526,-0.35042735042735046,1.0,-0.7012578616352201,-0.5777777777777777,-0.8713733075435203,-0.5529411764705883,-0.17568146139574708,2.041005291005291,0.9244372990353698,0.2638749749549188,0.19294532627865957,0.23064770932069506,0.029431438127090294,0.2784222737819025,1.28,3.0714285714285716,-0.2948453608247423,1.0208422862054147,1.1715933232169955,0.3597444089456868,3.524742268041237,2.790523690773067,2.5269461077844313,3.5238095238095233,0.4250000000000001,2.8863636363636362,-1.0,1.0613207547169814,2.494252873563219,0.07853403141361257,0.14835164835164846,0.28303108808290156,0.09879518072289162,1.2686567164179103,3.7499999999999996,-0.5771905424200279,0.2337662337662338
18,Maximilian Arnold,1994,Wolfsburg,0.4166666666666667,1.1056603773584908,0.7658227848101264,0.814516129032258,1.52,0.9756097560975611,0.6478873239436619,0.7180616740088105,0.8609332113449223,0.6034874905231237,1.3518867924528304,0.5441904312986094,-0.7018072289156626,0.9437377416643317,1.0966163013407109,0.4330646746609005,1.1111111111111112,3.1121876593574704,1.6689655172413793,-0.45454545454545453,1.1176470588235297,0.6928355196770938,0.6933235509904622,0.7133655394524959,-0.7233009708737864,-0.47332185886402756,-0.41935483870967744,-0.5263157894736842,0.2558139534883721,-0.23404255319148937,-1.0,0.50920245398773,9.862068965517242,0.9004707464694018,-0.6026490066225165,0.6851400730816078,0.5509138381201044,1.6728538283062646,-1.0,0.06719367588932808,0.015037593984962351
19,Takuma Asano,1994,Bochum,-0.16103896103896106,-0.5559265442404007,-0.5390835579514826,-0.7370242214532872,-0.6752136752136753,0.5,-0.5220125786163522,-0.7888888888888889,-0.7794970986460348,-0.7151095732410612,-0.42243470814899386,0.45264550264550263,1.4437299035369775,-0.29446336739464374,-0.426984126984127,-0.2153012863913338,-0.5848383500557414,-0.7465197215777263,0.5200000000000001,0.9,-0.33402061855670107,0.2506087953015327,0.3573899848254933,-0.050607028753993664,1.3309278350515463,0.658354114713217,0.4790419161676648,0.8095238095238093,2.325,1.5909090909090908,0.4615384615384615,0.7476415094339623,-0.7816091954022988,-0.15706806282722513,1.9230769230769231,0.1094559585492228,-0.5421686746987951,0.3611940298507463,1.2166666666666666,-0.49791376912378305,-0.23232323232323232
21,Mehmet Aydin,2002,Schalke 04,-0.3565459610027855,0.07361963190184054,0.25999999999999995,0.33031674208144796,-0.12093023255813946,-0.20754716981132074,-0.25000000000000006,-0.5131375579598145,-0.500990099009901,-0.433270082226439,-0.4599438902743142,-0.4214711729622266,-0.8306451612903226,-0.4486284806190838,-0.46897859658629104,-0.40091696383087116,-0.5029305680793508,-0.6088344864289515,-0.6653386454183267,-0.38235294117647056,-0.631578947368421,-0.4635883580989807,-0.4318424453559589,-0.5674054758800522,-0.45285359801488834,-0.3552631578947369,-0.5307262569832402,-1.0,-0.10638297872340427,-1.0,-1.0,-0.5081967213114754,-0.7272727272727273,0.26140757927300856,-0.8707692307692309,-0.5717984680116517,-0.6684210526315789,-0.6480446927374302,-1.0,-0.5780525502318392,-0.4757709251101322
23,Sardar Azmoun,1995,Leverkusen,-0.8017492711370262,-0.777292576419214,-0.8045977011494253,-0.9241071428571429,-0.6402116402116402,-0.6222222222222222,-0.8794326241134752,-0.5910652920962199,-0.8017937219730942,-0.8728916710137368,-0.7057659974285432,-0.44363636363636366,0.205317577548006,-0.7045867852091332,-0.742960333006856,-0.7035546613011402,-0.8467235549830945,-0.8042602187679908,-0.2916666666666667,-1.0,-0.5420875420875421,-0.8246210298363811,-0.7872440842365654,-0.6753692376547814,-0.35224386113463163,-0.7293777134587555,-0.7017543859649122,-0.6964285714285714,-0.26086956521739135,-0.5952380952380952,2.090909090909091,-0.16393442622950827,-1.0,-0.32535257461462797,0.30196936542669595,-0.4615805118042981,-0.20385674931129472,-0.9567430025445293,1.8936170212765957,-0.09223300970873784,0.653276955602537
25,Mitchel Bakker,2000,Leverkusen,-0.008746355685131164,-0.40611353711790393,-0.47892720306513414,-0.3169642857142857,-0.37037037037037035,-1.0,-0.09574468085106391,-0.415807560137457,-0.5121076233183857,-0.02156146757085729,-0.041637820195826306,0.03030303030303027,-0.27178729689807973,-0.021873105677914752,0.007345739471106702,0.15157612340710938,-0.10223796490098218,-0.08981001727115713,-0.1398809523809524,-0.26086956521739135,-0.18434343434343425,-0.30819898941289703,-0.2513426423200859,-0.10980158138147102,-0.06435224386113461,-0.040520984081041996,-0.45321637426900585,-1.0,-1.0,-0.19047619047619052,0.5454545454545454,-0.0710382513661203,0.17241379310344832,0.05378812725483725,-0.36761487964989054,-0.03642078649765966,-0.1570247933884297,-0.39440203562340964,-0.2765957446808511,-0.5048543689320388,-0.53276955602537
26,Ridle Baku,1998,Wolfsburg,0.8333333333333334,0.6981132075471699,0.48101265822784794,1.1048387096774193,0.53,-0.12195121951219508,0.3309859154929577,0.5594713656387664,0.31747483989021047,0.7774829416224414,0.8679245283018869,1.1126561395239216,0.21987951807228925,0.9054076772205099,0.980421366248138,0.9921368193434246,1.0484330484330484,0.8541560428352881,0.7379310344827587,2.8181818181818183,0.7788235294117648,0.7298890010090817,0.8037417461482025,0.8599033816425121,1.2864077669902911,0.8898450946643717,0.6693548387096773,0.8947368421052632,0.6744186046511629,0.5319148936170213,-1.0,0.8404907975460122,-0.37931034482758624,0.1560188298587764,0.152317880794702,0.5712545676004872,0.26892950391644904,0.33642691415313236,0.5000000000000001,-0.21739130434782608,0.04887218045112776
27,Aymen Barkok,1998,Mainz 05,-0.6748166259168704,-0.3643122676579925,-0.5462686567164179,-0.2830188679245283,-0.5320197044334976,-0.1857142857142857,-0.8677494199535963,-0.7352941176470589,-0.7682926829268293,-0.7969758064516129,-0.6334858414739706,-0.2686967113276492,-0.5924932975871313,-0.5965077866918358,-0.6188449848024317,-0.5679342633288744,-0.6462042152649887,-0.8193916349809887,-0.4411764705882353,-0.7532467532467533,-0.33098591549295775,-0.22696704774714188,-0.3322423906749579,-0.5584722969338354,-0.5083179297597042,-0.19148936170212766,-0.20833333333333331,-0.3870967741935484,-0.28301886792452824,-0.4864864864864865,-1.0,-0.474468085106383,-0.7285714285714285,0.3756991920447481,-0.7688564476885644,-0.6305151343611601,-0.3038793103448276,-0.7661538461538462,-1.0,-0.5963172804532577,-0.6093979441997064
28,Leandro Barreiro Martins,2000,Mainz 05,0.765281173594132,1.1189591078066916,1.155223880597015,0.3622641509433962,1.620689655172414,2.5285714285714285,0.8074245939675173,0.14705882352941177,0.06199186991869916,-0.1534274193548386,0.014962285149004533,0.06918392204628501,0.4772117962466488,-0.02489381783860312,-0.19582066869300913,0.03477928530479644,-0.33906281972580316,-0.6026615969581749,0.11764705882352941,-0.7532467532467533,-0.09683098591549298,-0.3185384442950011,-0.25188187608569784,-0.2395911780527165,-0.13955637707948243,-0.23191489361702128,-0.5601851851851852,0.8387096774193549,0.4339622641509435,1.054054054054054,5.333333333333333,0.2936170212765958,-1.0,-0.05531385954008715,0.8029197080291972,0.35456694748759615,0.9655172413793103,0.9292307692307693,-0.14925373134328354,0.04957507082152982,0.1997063142437591
30,Maximilian Bauer,2000,Augsburg,0.193633952254642,0.23725055432372497,0.18604651162790692,0.5069767441860464,0.2558139534883721,-0.71875,0.5984555984555984,1.1004431314623337,1.2967863894139888,1.2533418204964992,0.13105363652143728,-0.7988826815642458,-0.5420743639921722,0.30469441984056694,0.334898737892574,0.0636363636363637,0.48659744023182816,0.7711442786069652,-0.6697247706422018,-1.0,-0.07928388746803065,0.48540288049824826,0.26451812829253174,0.3033675386616562,-0.9522546419098143,-0.7766749379652605,-0.7777777777777778,-1.0,0.8461538461538463,0.8620689655172413,0.38461538461538464,-0.7368421052631579,-0.45454545454545453,-0.553545374963525,0.06273062730627313,0.19701718361612444,0.11627906976744186,0.31847133757961793,-0.6727272727272727,1.2862254025044721,0.3579881656804733
32,Timo Baumgartl,1996,Union Berlin,-0.32344213649851633,-0.5476190476190476,-0.5598455598455598,-0.5432692307692307,-0.6180904522613065,-0.30909090909090914,-0.8527131782945736,-0.605925925925926,-0.39595375722543347,-0.39248601119104715,-0.48537079953650053,-0.8713206564209429,-0.6957295373665481,-0.5465451979213447,-0.5149850553356491,-0.5788787483702738,-0.4447803305118903,-0.40595533498759306,-0.7729083665338645,-0.6513761467889908,-0.45267489711934156,-0.324281331666856,-0.4433811377085888,-0.5103871040980815,-0.9565714285714286,-1.0,-1.0,-1.0,-0.3448275862068966,-1.0,-1.0,-0.6848341232227488,-1.0,-0.35526704042490415,-0.8733333333333334,-0.630697931797745,-0.4963855421686747,-0.6334405144694534,-1.0,-0.4943977591036415,-0.7205882352941176
33,Julian Baumgartlinger,1988,Augsburg,-0.8090185676392573,-0.40133037694013307,-0.7209302325581396,-0.5813953488372093,-0.37209302325581395,0.12500000000000006,-0.722007722007722,-0.601181683899557,-0.6767485822306238,-0.6448122215149587,-0.5125846207255684,-0.7541899441340782,-0.8943248532289628,-0.6120460584588131,-0.5984737305547403,-0.5499999999999999,-0.569669162038155,-0.7213930348258707,-0.8348623853211009,-0.5714285714285715,-0.42455242966751916,-0.7629427792915532,-0.7422993492407809,-0.6071686659921954,-0.9283819628647215,-0.8213399503722084,-0.8888888888888888,-1.0,-0.5384615384615384,-1.0,-1.0,-0.631578947368421,-1.0,-0.04406186168660635,-0.8007380073800737,-0.6407651572462986,-0.7674418604651163,-0.48407643312101906,-1.0,-0.774597495527728,-0.7603550295857988
34,Christoph Baumgartner,1999,Hoffenheim,1.6106870229007637,0.3471933471933472,0.19163763066202089,-0.052631578947368376,0.45714285714285724,1.9302325581395348,-0.007352941176470562,-0.4411764705882353,-0.3457595526561044,-0.2836519703472493,0.5001908639776054,1.3331622176591373,2.3396226415094334,0.44292893036611636,0.23899796885578875,0.5509499136442142,-0.13403219767877197,-0.18782791185729272,0.6119402985074627,-0.052631578947368446,0.6348773841961853,1.0001787230239936,0.930131761442441,0.5970031545741326,1.4279069767441859,2.947069943289225,3.1012658227848107,3.4,1.647058823529412,4.2682926829268295,0.7999999999999999,1.3027718550106608,-1.0,-0.14097199871258456,2.5013698630136987,0.6438736302831933,1.737327188940092,1.601769911504425,1.3478260869565215,1.6503067484662575,1.631578947368421
36,Ihlas Bebou,1994,Hoffenheim,-0.5877862595419847,-0.28898128898128894,0.0034843205574912766,-0.3684210526315789,-0.39999999999999997,0.6744186046511629,-0.5367647058823529,-0.5588235294117647,-0.6309412861136999,-0.778774873195474,-0.46176358315307287,0.33059548254620114,0.9528301886792452,-0.3797559224694903,-0.5003385240352065,-0.2815198618307427,-0.703481842006739,-0.7639034627492131,0.007462686567164152,-1.0,-0.6239782016348774,-0.45310754657968816,-0.3544122746185853,-0.33280757097791797,0.9423255813953488,0.9735349716446124,0.9746835443037976,2.6,-0.47058823529411764,1.1951219512195124,-1.0,0.15138592750533042,-1.0,-0.17927261023495336,0.873972602739726,-0.09321189696883456,-0.08755760368663593,-0.5221238938053097,1.0869565217391302,0.030674846625766826,0.8947368421052632
37,Sheraldo Becker,1995,Union Berlin,-0.26706231454005935,-0.3831168831168831,-0.6332046332046332,-0.9086538461538461,-0.33165829145728637,1.418181818181818,-0.7790697674418605,-0.802962962962963,-0.8718689788053949,-0.7835731414868106,-0.2762166859791425,1.9794217244073975,2.9555160142348753,0.10681978571886831,0.0007270377251798043,0.11886136462407645,-0.1575977428456267,-0.19851116625310175,2.3306772908366535,4.229357798165138,-0.13991769547325097,1.2052607658220655,1.2178653302766966,0.464524917697809,4.211428571428571,2.05449591280654,1.94047619047619,3.5599999999999996,1.6206896551724137,1.923076923076923,-1.0,2.3317535545023698,-1.0,0.025966361758630842,3.1166666666666663,0.6782873348550874,0.32771084337349404,0.5884244372990354,7.636363636363636,-0.5742296918767508,0.3691176470588235
