,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,PenaltyKicks_PKatt,PenaltyKicks_PKA,PenaltyKicks_PKsv,PenaltyKicks_PKm,PenaltyKicks_Save%,Matches
13,14,Samir Handanović,si SVN,GK,Inter,38,1984,14,14,1234,13.7,18.0,1.31,52.0,35.0,67.3,9,0.0,5.0,4.0,28.6,1.0,1.0,0.0,0.0,0.0,Matches
14,15,Mike Maignan,fr FRA,GK,Milan,27,1995,22,22,1978,22.0,21.0,0.96,62.0,40.0,69.4,11,7.0,4.0,8.0,36.4,3.0,2.0,1.0,0.0,33.3,Matches
15,16,Federico Marchetti,it ITA,GK,Spezia,39,1983,1,0,66,0.7,2.0,2.73,3.0,1.0,33.3,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches
16,17,Luís Maximiano,pt POR,GK,Lazio,23,1999,1,1,5,0.1,,,,,,1,,,,,,,,,,Matches
17,18,Alex Meret,it ITA,GK,Napoli,25,1997,34,34,3060,34.0,24.0,0.71,91.0,66.0,74.7,26,5.0,3.0,16.0,47.1,2.0,1.0,1.0,0.0,50.0,Matches
18,19,Vanja Milinković-Savić,rs SRB,GK,Torino,25,1997,38,38,3420,38.0,41.0,1.08,136.0,95.0,73.5,14,11.0,13.0,11.0,28.9,6.0,5.0,0.0,1.0,0.0,Matches
19,20,Antonio Mirante,it ITA,GK,Milan,39,1983,1,0,2,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches
20,21,Lorenzo Montipò,it ITA,GK,Hellas Verona,26,1996,37,37,3330,37.0,59.0,1.59,181.0,124.0,68.0,7,9.0,21.0,5.0,13.5,2.0,1.0,1.0,0.0,50.0,Matches
21,22,Juan Musso,ar ARG,GK,Atalanta,28,1994,24,24,2077,23.1,27.0,1.17,89.0,64.0,71.9,13,4.0,7.0,7.0,29.2,2.0,2.0,0.0,0.0,0.0,Matches
22,23,Guillermo Ochoa,mx MEX,GK,Salernitana,37,1985,20,20,1800,20.0,33.0,1.65,105.0,71.0,71.4,4,10.0,6.0,4.0,20.0,4.0,3.0,1.0,0.0,25.0,Matches
23,24,André Onana,cm CMR,GK,Inter,26,1996,24,24,2160,24.0,24.0,1.0,83.0,61.0,73.5,14,3.0,7.0,8.0,33.3,2.0,2.0,0.0,0.0,0.0,Matches
24,25,Rui Patrício,pt POR,GK,Roma,34,1988,35,35,3150,35.0,35.0,1.0,108.0,73.0,69.4,17,8.0,10.0,13.0,37.1,3.0,2.0,1.0,0.0,33.3,Matches
25,26,Gianluca Pegolo,it ITA,GK,Sassuolo,41,1981,2,2,180,2.0,3.0,1.5,6.0,3.0,66.7,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
26,27,Simone Perilli,it ITA,GK,Hellas Verona,27,1995,1,1,90,1.0,0.0,0.0,4.0,4.0,100.0,0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
27,28,Mattia Perin,it ITA,GK,Juventus,29,1992,11,10,948,10.5,7.0,0.66,40.0,32.0,85.0,5,3.0,2.0,6.0,60.0,2.0,1.0,1.0,0.0,50.0,Matches
28,29,Samuele Perisan,it ITA,GK,Empoli,24,1997,7,7,630,7.0,9.0,1.29,24.0,15.0,62.5,1,1.0,5.0,2.0,28.6,0.0,0.0,0.0,0.0,,Matches
29,30,Ivan Provedel,it ITA,GK,Lazio,28,1994,38,37,3413,37.9,30.0,0.79,128.0,99.0,77.3,21,8.0,8.0,21.0,56.8,2.0,1.0,0.0,1.0,0.0,Matches
30,31,Ionuț Radu,ro ROU,GK,Cremonese,25,1997,9,9,810,9.0,19.0,2.11,64.0,45.0,75.0,0,3.0,6.0,1.0,11.1,3.0,3.0,0.0,0.0,0.0,Matches
31,32,Nicola Ravaglia,it ITA,GK,Sampdoria,33,1988,9,9,810,9.0,23.0,2.56,64.0,41.0,67.2,0,3.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
32,33,Francesco Rossi,it ITA,GK,Atalanta,31,1991,1,0,4,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches
33,34,Alessandro Russo,it ITA,GK,Sassuolo,21,2001,1,1,90,1.0,3.0,3.0,7.0,4.0,57.1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
34,35,Mouhamadou Sarr,sn SEN,GK,Cremonese,25,1997,2,2,180,2.0,3.0,1.5,8.0,5.0,62.5,1,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,,Matches
35,36,Luigi Sepe,it ITA,GK,Salernitana,31,1991,17,17,1530,17.0,27.0,1.59,87.0,57.0,73.6,4,5.0,8.0,3.0,17.6,7.0,4.0,3.0,0.0,42.9,Matches
36,37,Marco Silvestri,it ITA,GK,Udinese,31,1991,38,38,3420,38.0,48.0,1.26,137.0,91.0,69.3,11,13.0,14.0,10.0,26.3,7.0,6.0,0.0,1.0,0.0,Matches
37,38,Salvatore Sirigu,it ITA,GK,Fiorentina,35,1987,1,1,90,1.0,0.0,0.0,5.0,5.0,100.0,1,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
38,39,Łukasz Skorupski,pl POL,GK,Bologna,31,1991,37,37,3330,37.0,49.0,1.32,161.0,113.0,73.9,13,12.0,12.0,7.0,18.9,9.0,7.0,2.0,0.0,22.2,Matches
39,40,Marco Sportiello,it ITA,GK,Atalanta,30,1992,15,14,1339,14.9,21.0,1.41,64.0,43.0,68.8,6,3.0,5.0,2.0,14.3,1.0,1.0,0.0,0.0,0.0,Matches
40,41,Mile Svilar,rs SRB,GK,Roma,22,1999,3,3,270,3.0,3.0,1.0,10.0,7.0,70.0,1,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,,Matches
41,42,Wojciech Szczęsny,pl POL,GK,Juventus,32,1990,28,28,2472,27.5,26.0,0.95,93.0,67.0,75.3,17,3.0,8.0,14.0,50.0,3.0,3.0,0.0,0.0,0.0,Matches
42,43,Ciprian Tătărușanu,ro ROU,GK,Milan,36,1986,16,16,1440,16.0,22.0,1.37,61.0,40.0,67.2,9,3.0,4.0,4.0,25.0,2.0,2.0,0.0,0.0,0.0,Matches
43,44,Pietro Terracciano,it ITA,GK,Fiorentina,32,1990,29,29,2610,29.0,38.0,1.31,96.0,59.0,66.7,9,8.0,12.0,5.0,17.2,7.0,6.0,1.0,0.0,14.3,Matches
44,45,Martin Turk,si SVN,GK,Sampdoria,18,2003,4,4,360,4.0,9.0,2.25,30.0,21.0,73.3,1,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,Matches
45,46,Samir Ujkani,xk KVX,GK,Empoli,34,1988,1,0,7,0.1,1.0,12.86,1.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches
46,47,Guglielmo Vicario,it ITA,GK,Empoli,25,1996,31,31,2783,30.9,39.0,1.26,134.0,95.0,73.9,9,12.0,10.0,7.0,22.6,6.0,4.0,1.0,1.0,20.0,Matches
47,48,Jeroen Zoet,nl NED,GK,Spezia,31,1991,5,4,334,3.7,4.0,1.08,13.0,9.0,76.9,0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
48,49,Petar Zovko,ba BIH,GK,Spezia,20,2002,1,0,74,0.8,2.0,2.43,3.0,1.0,33.3,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches
