,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Matches
22,23,Komnen Andrić,rs SRB,FW,Clermont Foot,27,1995,34,16,1446,16.1,4,3,7,3,1,2,4,0,5.5,3.9,0.9,4.8,8,27,88,0.25,0.19,0.44,0.19,0.37,0.34,0.06,0.39,0.24,0.3,Matches
23,24,Houssem Aouar,dz ALG,MF,Lyon,24,1998,16,6,526,5.8,1,1,2,1,0,0,2,0,1.4,1.4,1.1,2.6,12,37,36,0.17,0.17,0.34,0.17,0.34,0.25,0.2,0.44,0.25,0.44,Matches
24,25,Adil Aouchiche,fr FRA,MF,Lorient,20,2002,11,1,250,2.8,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,16,23,20,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.22,0.2,0.22,Matches
25,26,Dennis Appiah,fr FRA,DFMF,Nantes,30,1992,15,9,795,8.8,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,15,39,51,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06,Matches
26,27,Stredair Appuah,fr FRA,DFMF,Nantes,18,2004,5,0,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,7,3,10,0.0,0.0,0.0,0.0,0.0,0.09,0.29,0.38,0.09,0.38,Matches
27,28,Taïryk Arconte,fr FRA,FW,Brest,18,2003,4,1,128,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,1,8,0.0,0.0,0.0,0.0,0.0,0.19,0.1,0.29,0.19,0.29,Matches
28,29,Mohamed El Arouch,fr FRA,MF,Lyon,18,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
29,30,Lorenz Assignon,tg TOG,DF,Rennes,22,2000,12,2,261,2.9,0,1,1,0,0,0,3,0,0.3,0.3,0.3,0.6,10,11,13,0.0,0.34,0.34,0.0,0.34,0.11,0.1,0.22,0.11,0.22,Matches
30,31,Youcef Atal,dz ALG,DFMF,Nice,26,1996,18,8,779,8.7,1,0,1,1,0,0,1,0,1.0,1.0,1.3,2.3,38,39,63,0.12,0.0,0.12,0.12,0.12,0.12,0.15,0.27,0.12,0.27,Matches
31,32,Valentin Atangana Edoa,fr FRA,MF,Reims,16,2005,7,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,5,6,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches
