,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
81,82,Sergio Busquets,es ESP,MF,Barcelona,34,1988,26.0,2172.0,62.0,387.0,1427.0,373.0,14.0,2172.0,16.0,11.0,68.8,3.0,18.8,1279.0,5074.0,2594.0,26.0,32.0,1.0,19.0,12.0,1551.0,32.0,Matches
82,83,Leandro Cabrera,uy URU,DF,Espanyol,31,1991,29.7,1642.0,198.0,723.0,802.0,125.0,40.0,1642.0,9.0,6.0,66.7,2.0,22.2,763.0,3158.0,1406.0,13.0,9.0,1.0,9.0,5.0,893.0,8.0,Matches
83,84,Cala,es ESP,DF,Cádiz,32,1989,1.5,59.0,13.0,37.0,21.0,1.0,1.0,59.0,0.0,0.0,,0.0,,19.0,59.0,8.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,Matches
84,85,Fernando Calero,es ESP,DFMF,Espanyol,26,1995,17.9,944.0,83.0,377.0,499.0,77.0,14.0,944.0,3.0,1.0,33.3,2.0,66.7,454.0,1933.0,951.0,9.0,8.0,1.0,12.0,6.0,518.0,4.0,Matches
85,86,Alexander Callens,pe PER,DF,Girona,30,1992,1.3,111.0,11.0,53.0,53.0,5.0,0.0,111.0,0.0,0.0,,0.0,,76.0,361.0,213.0,5.0,3.0,0.0,2.0,1.0,72.0,1.0,Matches
86,87,Eduardo Camavinga,fr FRA,MFDF,Real Madrid,19,2002,22.3,1770.0,51.0,372.0,942.0,485.0,39.0,1770.0,71.0,38.0,53.5,25.0,35.2,1162.0,6589.0,3684.0,69.0,77.0,12.0,39.0,28.0,1326.0,99.0,Matches
87,88,Sergio Camello,es ESP,FW,Rayo Vallecano,21,2001,26.7,782.0,29.0,51.0,337.0,406.0,101.0,782.0,46.0,18.0,39.1,24.0,52.2,483.0,2631.0,1053.0,40.0,36.0,17.0,71.0,35.0,561.0,122.0,Matches
88,89,Sergio Canales,es ESP,FWMF,Betis,31,1991,26.7,1677.0,13.0,180.0,745.0,781.0,54.0,1676.0,54.0,28.0,51.9,19.0,35.2,1051.0,6475.0,3161.0,82.0,69.0,5.0,55.0,41.0,1275.0,150.0,Matches
89,90,Ander Capa,es ESP,DF,Athletic Club,30,1992,1.2,110.0,2.0,24.0,50.0,37.0,2.0,110.0,3.0,2.0,66.7,1.0,33.3,53.0,406.0,193.0,5.0,9.0,1.0,3.0,2.0,56.0,7.0,Matches
90,91,Étienne Capoue,fr FRA,MF,Villarreal,34,1988,21.7,1211.0,40.0,199.0,726.0,301.0,24.0,1211.0,62.0,31.0,50.0,22.0,35.5,782.0,4150.0,2035.0,45.0,27.0,10.0,26.0,13.0,948.0,72.0,Matches
91,92,Isaac Carcelen,es ESP,DF,Cádiz,29,1993,24.4,1212.0,119.0,438.0,550.0,239.0,12.0,1212.0,21.0,14.0,66.7,6.0,28.6,494.0,2387.0,1410.0,33.0,18.0,3.0,18.0,18.0,550.0,62.0,Matches
92,93,Juan Carlos,es ESP,GK,Girona,34,1988,10.0,356.0,324.0,355.0,1.0,0.0,0.0,356.0,0.0,0.0,,0.0,,212.0,903.0,476.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,Matches
