,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,_Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
32,33,Tommaso Baldanzi,it ITA,MFFW,Empoli,20.0,2003.0,8.3,257.0,223.0,29.0,6.0,0.0,0.0,16,9.0,10.0,4.0,3.0,0.0,201.0,5.0,8.0,Matches
33,34,Tommaso Baldanzi,it ITA,FWMF,Roma,20.0,2003.0,5.8,205.0,201.0,4.0,0.0,1.0,0.0,7,4.0,0.0,0.0,0.0,0.0,175.0,0.0,2.0,Matches
34,35,Lameck Banda,zm ZAM,FW,Lecce,22.0,2001.0,15.0,342.0,325.0,15.0,2.0,1.0,2.0,51,4.0,9.0,5.0,2.0,0.0,250.0,2.0,14.0,Matches
35,36,Daniel Bandeira,pt POR,MF,Hellas Verona,23.0,2000.0,5.0,233.0,224.0,7.0,2.0,3.0,4.0,7,3.0,2.0,0.0,1.0,0.0,187.0,2.0,2.0,Matches
36,37,Mattia Bani,it ITA,DF,Genoa,29.0,1993.0,25.6,1152.0,1059.0,88.0,45.0,0.0,1.0,1,6.0,0.0,0.0,0.0,0.0,962.0,5.0,8.0,Matches
37,38,Antonín Barák,cz CZE,MFFW,Fiorentina,28.0,1994.0,9.0,392.0,372.0,20.0,3.0,0.0,1.0,4,4.0,1.0,0.0,0.0,0.0,338.0,0.0,13.0,Matches
38,39,Nicolò Barella,it ITA,MF,Inter,26.0,1997.0,31.6,2168.0,2120.0,37.0,17.0,12.0,25.0,51,19.0,1.0,0.0,0.0,0.0,1835.0,11.0,37.0,Matches
39,40,Enzo Barrenechea,ar ARG,MF,Frosinone,22.0,2001.0,31.2,1903.0,1795.0,104.0,88.0,1.0,13.0,1,3.0,0.0,0.0,0.0,0.0,1624.0,4.0,21.0,Matches
40,41,Davide Bartesaghi,it ITA,DFMF,Milan,17.0,2005.0,0.9,35.0,28.0,7.0,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,Matches
41,42,Federico Baschirotto,it ITA,DF,Lecce,26.0,1996.0,36.6,1808.0,1668.0,136.0,66.0,0.0,10.0,3,9.0,0.0,0.0,0.0,0.0,1516.0,4.0,10.0,Matches
42,43,Toma Bašić,hr CRO,MF,Salernitana,26.0,1996.0,12.9,540.0,503.0,35.0,22.0,1.0,6.0,25,7.0,6.0,1.0,4.0,0.0,442.0,2.0,11.0,Matches
