,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,Expected_xA,Expected_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,Matches
39,40,Enzo Barrenechea,ar ARG,MF,Frosinone,22.0,2001.0,31.2,1624.0,1903.0,85.3,26904.0,7782.0,779.0,857.0,90.9,679.0,775.0,87.6,126.0,193.0,65.3,1,1.7,1.1,-0.7,25.0,160.0,8.0,0.0,155.0,Matches
40,41,Davide Bartesaghi,it ITA,DFMF,Milan,17.0,2005.0,0.9,28.0,35.0,80.0,493.0,221.0,10.0,11.0,90.9,15.0,16.0,93.8,3.0,6.0,50.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Matches
41,42,Federico Baschirotto,it ITA,DF,Lecce,26.0,1996.0,36.6,1516.0,1808.0,83.8,30369.0,9843.0,431.0,494.0,87.2,867.0,944.0,91.8,191.0,318.0,60.1,1,0.7,0.3,0.3,2.0,71.0,1.0,0.0,96.0,Matches
42,43,Toma Bašić,hr CRO,MF,Salernitana,26.0,1996.0,12.9,442.0,540.0,81.9,7981.0,2047.0,192.0,208.0,92.3,179.0,214.0,83.6,57.0,89.0,64.0,0,0.5,0.7,-0.5,16.0,43.0,6.0,4.0,53.0,Matches
43,44,Alessandro Bastoni,it ITA,DF,Inter,24.0,1999.0,25.2,1671.0,1935.0,86.4,32047.0,10473.0,671.0,716.0,93.7,765.0,834.0,91.7,211.0,312.0,67.6,3,3.4,3.1,-0.4,22.0,135.0,35.0,14.0,142.0,Matches
44,45,Simone Bastoni,it ITA,MFDF,Empoli,26.0,1996.0,8.3,246.0,360.0,68.3,4104.0,1653.0,116.0,141.0,82.3,93.0,121.0,76.9,28.0,69.0,40.6,0,0.5,1.0,-0.5,12.0,25.0,6.0,2.0,31.0,Matches
45,46,Reda Belahyane,fr FRA,MF,Hellas Verona,19.0,2004.0,1.0,23.0,25.0,92.0,298.0,88.0,14.0,14.0,100.0,6.0,6.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,Matches
46,47,Raoul Bellanova,it ITA,DF,Torino,23.0,2000.0,33.8,1232.0,1579.0,78.0,20583.0,5976.0,601.0,675.0,89.0,488.0,607.0,80.4,109.0,190.0,57.4,7,5.0,4.5,2.0,52.0,61.0,47.0,37.0,98.0,Matches
47,48,Andrea Belotti,it ITA,FW,Fiorentina,29.0,1993.0,10.5,133.0,201.0,66.2,1754.0,337.0,82.0,114.0,71.9,37.0,53.0,69.8,3.0,8.0,37.5,0,0.7,0.6,-0.7,5.0,7.0,4.0,1.0,15.0,Matches
48,49,Andrea Belotti,it ITA,FW,Roma,29.0,1993.0,7.5,115.0,155.0,74.2,1521.0,212.0,72.0,86.0,83.7,31.0,41.0,75.6,5.0,7.0,71.4,2,1.2,0.9,0.8,8.0,2.0,1.0,0.0,8.0,Matches
