,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,SCA_SCA,SCA_SCA90,SCATypes_PassLive,SCATypes_PassDead,SCATypes_TO,SCATypes_Sh,SCATypes_Fld,SCATypes_Def,GCA_GCA,GCA_GCA90,GCATypes_PassLive,GCATypes_PassDead,GCATypes_TO,GCATypes_Sh,GCATypes_Fld,GCATypes_Def,Matches
222,223,Javier Guerra,es ESP,MF,Valencia,20.0,2003.0,27.8,46,1.66,33,0,7,3,3,0,1,0.04,0,0,1,0,0,0,Matches
223,224,Ander Guevara,es ESP,MF,Alavés,26.0,1997.0,32.6,69,2.12,58,4,2,3,1,1,3,0.09,2,0,0,0,1,0,Matches
224,225,Hugo Guillamón,es ESP,MF,Valencia,23.0,2000.0,14.6,30,2.05,27,1,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches
225,226,Marc Guiu,es ESP,FWMF,Barcelona,17.0,2006.0,0.8,2,2.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
226,227,Arda Güler,tr TUR,FWMF,Real Madrid,18.0,2005.0,4.2,18,4.3,11,1,2,2,2,0,2,0.48,1,0,1,0,0,0,Matches
227,228,Gerard Gumbau,es ESP,MF,Granada,28.0,1994.0,29.7,83,2.79,38,35,1,5,2,2,11,0.37,8,1,0,2,0,0,Matches
228,229,İlkay Gündoğan,de GER,MF,Barcelona,32.0,1990.0,33.3,166,4.99,111,45,4,2,4,0,13,0.39,10,2,0,0,1,0,Matches
229,230,Jon Guridi,es ESP,MF,Alavés,28.0,1995.0,29.8,69,2.32,54,0,2,7,2,4,8,0.27,6,0,0,2,0,0,Matches
230,231,Gorka Guruzeta,es ESP,FW,Athletic Club,26.0,1996.0,24.6,56,2.27,46,0,1,2,5,2,8,0.32,7,0,0,1,0,0,Matches
231,232,Miguel Gutiérrez,es ESP,DF,Girona,22.0,2001.0,33.7,80,2.37,70,1,2,6,0,1,13,0.39,13,0,0,0,0,0,Matches
232,233,Munir El Haddadi,ma MAR,FW,Las Palmas,27.0,1995.0,27.2,62,2.28,41,5,5,2,8,1,5,0.18,3,1,0,1,0,0,Matches
233,234,Ianis Hagi,ro ROU,MFFW,Alavés,24.0,1998.0,8.9,48,5.37,26,15,3,3,1,0,1,0.11,1,0,0,0,0,0,Matches
234,235,Luiz Henrique,br BRA,FW,Betis,22.0,2001.0,6.8,30,4.38,20,0,6,4,0,0,5,0.73,3,0,2,0,0,0,Matches
235,236,Mario Hermoso,es ESP,DF,Atlético Madrid,28.0,1995.0,28.4,45,1.58,37,4,1,2,1,0,6,0.21,3,1,0,1,1,0,Matches
236,237,Javi Hernández ,es ESP,DF,Cádiz,25.0,1998.0,27.9,63,2.26,39,18,1,2,1,2,6,0.21,3,2,0,1,0,0,Matches
237,238,Aridane Hernández,es ESP,DF,Rayo Vallecano,34.0,1989.0,18.8,10,0.53,8,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
238,239,Luis Hernández,es ESP,DF,Cádiz,34.0,1989.0,8.0,17,2.12,9,8,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
239,240,Yarek Hernandis,es ESP,DF,Valencia,18.0,2005.0,8.2,5,0.61,2,2,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
240,241,Jorge Herrando,es ESP,DF,Osasuna,22.0,2001.0,18.3,4,0.22,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
241,242,Ander Herrera,es ESP,MF,Athletic Club,33.0,1989.0,11.4,30,2.63,27,0,0,2,0,1,3,0.26,3,0,0,0,0,0,Matches
242,243,Cristian Herrera,es ESP,FWMF,Las Palmas,32.0,1991.0,1.8,5,2.73,5,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Matches
