,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,_Int,_Tkl+Int,_Clr,_Err,Matches
93,94,Yannick Carrasco,be BEL,DF,Atlético Madrid,29.0,1993.0,2.5,4,4,3,1,0,2,7,28.6,5,2,0,2,1,5,6,0,Matches
94,95,Álvaro Carreras,es ESP,MFFW,Granada,20.0,2003.0,5.3,13,8,8,4,1,5,11,45.5,6,5,1,4,7,20,9,1,Matches
95,96,Dani Carvajal,es ESP,DF,Real Madrid,31.0,1992.0,24.1,47,32,28,15,4,23,42,54.8,19,28,9,19,22,69,54,4,Matches
96,97,William Carvalho,pt POR,MF,Betis,31.0,1992.0,7.6,20,12,11,7,2,10,16,62.5,6,8,1,7,8,28,9,1,Matches
97,98,Marc Casado,es ESP,MF,Barcelona,19.0,2003.0,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches
98,99,Catena,es ESP,DF,Osasuna,28.0,1994.0,28.2,33,18,26,6,1,19,35,54.3,16,24,15,9,15,48,119,3,Matches
99,100,Dani Ceballos,es ESP,MFFW,Real Madrid,26.0,1996.0,6.6,10,5,4,5,1,5,14,35.7,9,9,2,7,0,10,4,1,Matches
100,101,Álex Centelles,es ESP,DF,Almería,25.0,1997.0,10.9,11,6,9,2,0,8,18,44.4,10,5,2,3,18,29,29,0,Matches
101,102,Franco Cervi,ar ARG,MFDF,Celta Vigo,29.0,1994.0,6.1,24,18,13,9,2,13,24,54.2,11,16,0,16,9,33,4,0,Matches
102,103,Pep Chavarría,es ESP,DFMF,Rayo Vallecano,25.0,1998.0,13.0,23,18,15,6,2,11,17,64.7,6,15,3,12,6,29,29,1,Matches
103,104,Andreas Christensen,dk DEN,DFMF,Barcelona,27.0,1996.0,22.0,23,14,7,14,2,16,28,57.1,12,23,10,13,21,44,41,0,Matches
104,105,Víctor Chust,es ESP,DF,Cádiz,23.0,2000.0,20.7,29,18,23,5,1,18,32,56.3,14,27,21,6,11,40,92,1,Matches
105,106,Pathé Ciss,sn SEN,MF,Rayo Vallecano,29.0,1994.0,18.5,44,24,16,26,2,16,29,55.2,13,27,10,17,30,74,54,0,Matches
106,107,Silvi Clúa,es ESP,MF,Girona,18.0,2005.0,0.0,2,0,2,0,0,2,2,100.0,0,1,0,1,0,2,0,0,Matches
107,108,Saúl Coco,gq EQG,DF,Las Palmas,24.0,1999.0,25.5,32,19,25,7,0,11,18,61.1,7,27,15,12,20,52,120,3,Matches
108,109,Santi Comesaña,es ESP,MF,Villarreal,26.0,1996.0,18.4,44,26,15,21,8,19,38,50.0,19,33,9,24,22,66,27,1,Matches
109,110,Copete,es ESP,DF,Mallorca,23.0,1999.0,14.8,45,27,27,17,1,30,43,69.8,13,12,6,6,32,77,47,1,Matches
110,111,Francis Coquelin,fr FRA,MF,Villarreal,32.0,1991.0,10.1,20,12,8,10,2,5,13,38.5,8,14,4,10,16,36,15,0,Matches
111,112,Theo Corbeanu,ca CAN,MFFW,Granada,21.0,2002.0,2.0,5,2,2,3,0,1,3,33.3,2,3,0,3,3,8,2,0,Matches
112,113,Jesús Corona,mx MEX,MFDF,Sevilla,30.0,1993.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
113,114,Ángel Correa,ar ARG,FWMF,Atlético Madrid,28.0,1995.0,17.0,22,15,3,11,8,5,17,29.4,12,13,0,13,2,24,6,0,Matches
114,115,Thierry Correia,pt POR,DF,Valencia,24.0,1999.0,23.9,63,35,39,20,4,28,49,57.1,21,39,16,23,33,96,61,0,Matches
115,116,Jaume Costa,es ESP,DF,Mallorca,35.0,1988.0,18.7,38,22,23,10,5,18,29,62.1,11,14,4,10,16,54,35,0,Matches
116,117,Samu Costa,pt POR,MF,Mallorca,22.0,2000.0,25.6,91,50,40,46,5,46,93,49.5,47,28,14,14,39,130,59,3,Matches
