,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
45,46,Dilane Bakwa,fr FRA,FWMF,Strasbourg,20,2002,24.2,3,44,12,27.3,1.82,0.5,0.07,0.25,19.6,4,0,0,3.2,3.2,0.07,-0.2,-0.2,Matches
46,47,Carlos Baleba,cm CMR,MF,Lille,19,2004,0.7,0,2,1,50.0,2.95,1.48,0.0,0.0,30.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
47,48,Leonardo Balerdi,ar ARG,DF,Marseille,24,1999,25.2,2,14,4,28.6,0.55,0.16,0.14,0.5,17.4,0,0,0,0.9,0.9,0.06,1.1,1.1,Matches
48,49,Folarin Balogun,us USA,FW,Monaco,22,2001,18.8,7,63,26,41.3,3.35,1.38,0.11,0.27,14.0,0,0,3,11.0,8.5,0.14,-4.0,-1.5,Matches
49,50,Mohamed Bamba,ci CIV,FW,Lorient,21,2001,12.6,8,37,17,45.9,2.93,1.34,0.19,0.41,12.1,0,1,1,6.4,5.6,0.16,1.6,1.4,Matches
50,51,Mamady Bangré,bf BFA,FWMF,Toulouse,22,2001,1.1,0,3,0,0.0,2.67,0.0,0.0,,16.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
51,52,Bradley Barcola,fr FRA,FW,Lyon,20,2002,3.0,0,2,0,0.0,0.67,0.0,0.0,,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
52,53,Bradley Barcola,fr FRA,FWMF,Paris S-G,20,2002,15.2,4,31,11,35.5,2.04,0.72,0.13,0.36,13.8,0,0,0,4.5,4.5,0.15,-0.5,-0.5,Matches
53,54,Melvin Bard,fr FRA,DF,Nice,22,2000,29.5,1,15,5,33.3,0.51,0.17,0.07,0.2,24.6,2,0,0,0.5,0.5,0.04,0.5,0.5,Matches
54,55,Steven Baseya,fr FRA,DF,Strasbourg,18,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,56,Mohamed Bechikh,fr FRA,FWMF,Strasbourg,18,2005,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,57,Yanis Begraoui,ma MAR,FWMF,Toulouse,22,2001,3.3,0,8,4,50.0,2.4,1.2,0.0,0.0,17.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
57,58,Jérémie Bela,ao ANG,MFFW,Clermont Foot,30,1993,2.3,0,6,2,33.3,2.66,0.89,0.0,0.0,22.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
58,59,Reda Belahyane,fr FRA,MF,Nice,19,2004,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,60,Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,61,Jean-Ricner Bellegarde,fr FRA,MFFW,Strasbourg,25,1998,3.0,2,5,3,60.0,1.67,1.0,0.4,0.67,22.5,2,0,0,0.6,0.6,0.11,1.4,1.4,Matches
61,62,Jeanuël Belocian,fr FRA,DF,Rennes,18,2005,16.1,0,3,0,0.0,0.19,0.0,0.0,,11.3,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
62,63,Eliesse Ben Seghir,ma MAR,MFFW,Monaco,18,2005,4.8,2,14,4,28.6,2.94,0.84,0.14,0.5,19.8,1,0,0,0.8,0.8,0.06,1.2,1.2,Matches
63,64,Wissam Ben Yedder,fr FRA,FW,Monaco,32,1990,25.7,16,63,29,46.0,2.45,1.13,0.24,0.52,11.5,0,1,1,12.4,11.6,0.18,3.6,3.4,Matches
