,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Matches
590,591,Shon Weissman,il ISR,FWDF,Salernitana,27.0,1996.0,11,5,494,5.5,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,0.0,4.0,22.0,0.18,0.0,0.18,0.18,0.18,0.19,0.02,0.21,0.19,0.21,Matches
591,592,Mateusz Wieteska,pl POL,DF,Cagliari,26.0,1997.0,19,10,965,10.7,0,1,1,0,0,0,5,1,0.3,0.3,0.6,0.9,16.0,33.0,1.0,0.0,0.09,0.09,0.0,0.09,0.03,0.05,0.08,0.03,0.08,Matches
592,593,Kenan Yıldız,tr TUR,FWDF,Juventus,18.0,2005.0,27,9,952,10.6,2,0,2,2,0,0,3,0,1.6,1.6,1.1,2.7,32.0,40.0,73.0,0.19,0.0,0.19,0.19,0.19,0.15,0.1,0.26,0.15,0.26,Matches
593,594,Mattia Zaccagni,it ITA,FWMF,Lazio,28.0,1995.0,28,24,1956,21.7,6,1,7,6,0,0,8,0,4.7,4.7,2.9,7.6,88.0,55.0,209.0,0.28,0.05,0.32,0.28,0.32,0.22,0.13,0.35,0.22,0.35,Matches
594,595,Nicola Zalewski,pl POL,DFFW,Roma,21.0,2002.0,22,10,968,10.8,0,1,1,0,0,0,3,1,0.8,0.8,1.6,2.5,54.0,33.0,62.0,0.0,0.09,0.09,0.0,0.09,0.08,0.15,0.23,0.08,0.23,Matches
595,596,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,27.0,1995.0,34,32,2786,31.0,0,2,2,0,0,0,2,0,3.4,3.3,3.0,6.3,43.0,163.0,139.0,0.0,0.06,0.06,0.0,0.06,0.11,0.1,0.21,0.11,0.2,Matches
596,597,Alessandro Zanoli,it ITA,DF,Salernitana,22.0,2000.0,17,10,921,10.2,0,2,2,0,0,0,3,0,0.2,0.2,1.8,1.9,27.0,28.0,45.0,0.0,0.2,0.2,0.0,0.2,0.02,0.17,0.19,0.02,0.19,Matches
597,598,Alessandro Zanoli,it ITA,DFFW,Napoli,22.0,2000.0,4,0,52,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
598,599,Duván Zapata,co COL,FW,Torino,32.0,1991.0,35,34,2880,32.0,12,4,16,12,0,0,2,0,10.9,10.9,3.0,13.9,74.0,52.0,242.0,0.37,0.12,0.5,0.37,0.5,0.34,0.09,0.43,0.34,0.43,Matches
599,600,Duván Zapata,co COL,FW,Atalanta,32.0,1991.0,2,2,112,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,3.0,3.0,13.0,0.8,0.0,0.8,0.8,0.8,0.33,0.1,0.44,0.33,0.44,Matches
600,601,Gabriele Zappa,it ITA,DF,Cagliari,23.0,1999.0,38,25,2561,28.5,1,3,4,1,0,0,2,0,1.5,1.5,3.3,4.8,35.0,99.0,84.0,0.04,0.11,0.14,0.04,0.14,0.05,0.12,0.17,0.05,0.17,Matches
601,602,Davide Zappacosta,it ITA,DF,Atalanta,31.0,1992.0,31,23,1867,20.7,2,1,3,2,0,0,5,0,2.2,2.2,1.4,3.7,67.0,78.0,132.0,0.1,0.05,0.14,0.1,0.14,0.11,0.07,0.18,0.11,0.18,Matches
602,603,Oier Zarraga,es ESP,MF,Udinese,24.0,1999.0,15,4,404,4.5,2,0,2,2,0,0,0,0,0.6,0.6,0.0,0.6,5.0,8.0,10.0,0.45,0.0,0.45,0.45,0.45,0.13,0.01,0.14,0.13,0.14,Matches
603,604,Jordan Zemura,zw ZIM,DF,Udinese,23.0,1999.0,27,10,1038,11.5,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.2,23.0,32.0,52.0,0.09,0.0,0.09,0.09,0.09,0.07,0.03,0.1,0.07,0.1,Matches
604,605,Alessio Zerbin,it ITA,DFFW,Monza,24.0,1999.0,13,7,684,7.6,0,1,1,0,0,0,2,1,0.4,0.4,0.8,1.2,17.0,20.0,46.0,0.0,0.13,0.13,0.0,0.13,0.05,0.11,0.16,0.05,0.16,Matches
605,606,Alessio Zerbin,it ITA,FWDF,Napoli,24.0,1999.0,7,1,150,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.9,6.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.15,0.37,0.52,0.15,0.52,Matches
606,607,Kevin Zeroli,it ITA,MF,Milan,18.0,2005.0,3,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
607,608,Piotr Zieliński,pl POL,MF,Napoli,29.0,1994.0,28,23,1924,21.4,3,2,5,2,1,1,1,0,2.6,1.8,3.4,5.2,38.0,131.0,88.0,0.14,0.09,0.23,0.09,0.19,0.12,0.16,0.28,0.08,0.24,Matches
608,609,David Zima,cz CZE,DF,Torino,22.0,2000.0,5,0,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
609,610,Joshua Zirkzee,nl NED,FW,Bologna,22.0,2001.0,34,32,2759,30.7,11,4,15,9,2,2,8,0,9.0,7.4,5.2,12.6,53.0,86.0,182.0,0.36,0.13,0.49,0.29,0.42,0.29,0.17,0.46,0.24,0.41,Matches
610,611,Nadir Zortea,it ITA,DF,Frosinone,24.0,1999.0,14,14,1258,14.0,1,5,6,1,0,0,3,0,0.4,0.4,2.8,3.3,31.0,42.0,71.0,0.07,0.36,0.43,0.07,0.43,0.03,0.2,0.23,0.03,0.23,Matches
611,612,Nadir Zortea,it ITA,DF,Atalanta,24.0,1999.0,5,0,149,1.7,1,0,1,1,0,0,1,0,0.1,0.1,0.3,0.4,7.0,10.0,22.0,0.6,0.0,0.6,0.6,0.6,0.05,0.16,0.21,0.05,0.21,Matches
612,613,Szymon Żurkowski,pl POL,MF,Empoli,25.0,1997.0,13,10,868,9.6,4,0,4,4,0,0,4,0,1.0,1.0,0.1,1.1,17.0,20.0,37.0,0.41,0.0,0.41,0.41,0.41,0.1,0.01,0.11,0.1,0.11,Matches
613,614,Milan Đurić,ba BIH,FW,Hellas Verona,33.0,1990.0,20,13,1204,13.4,5,1,6,4,1,3,2,0,4.5,2.2,1.2,3.4,3.0,15.0,33.0,0.37,0.07,0.45,0.3,0.37,0.34,0.09,0.43,0.16,0.25,Matches
614,615,Milan Đurić,ba BIH,FW,Monza,33.0,1990.0,17,13,1257,14.0,4,1,5,4,0,0,2,0,3.0,3.0,0.7,3.7,2.0,8.0,31.0,0.29,0.07,0.36,0.29,0.36,0.21,0.05,0.26,0.21,0.26,Matches
615,616,Mateusz Łęgowski,pl POL,MF,Salernitana,20.0,2003.0,29,10,1145,12.7,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.5,16.0,37.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
