,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
234,235,Joan Gonzàlez,es ESP,MF,Lecce,21.0,2002.0,14.3,6,0,0,15,33,1,10,5,18,0.0,0.0,0,81.0,25.0,36.0,41.0,Matches
235,236,Nicolás González,ar ARG,FW,Fiorentina,25.0,1998.0,21.3,1,0,0,21,36,2,39,12,18,0.0,0.0,0,84.0,64.0,50.0,56.1,Matches
236,237,Alberto Grassi,it ITA,MF,Empoli,28.0,1995.0,20.1,6,1,1,22,33,0,5,41,18,0.0,0.0,1,124.0,28.0,30.0,48.3,Matches
237,238,Mattéo Guendouzi,fr FRA,MF,Lazio,24.0,1999.0,26.3,3,1,0,26,34,0,42,21,15,0.0,1.0,0,120.0,12.0,25.0,32.4,Matches
238,239,Axel Guessand,fr FRA,DF,Udinese,18.0,2004.0,0.5,0,0,0,0,1,0,0,0,1,0.0,0.0,0,3.0,1.0,1.0,50.0,Matches
239,240,Albert Guðmundsson,is ISL,FWMF,Genoa,26.0,1997.0,33.5,4,0,0,28,46,11,179,11,10,1.0,0.0,0,136.0,3.0,22.0,12.0,Matches
240,241,Emmanuel Gyasi,gh GHA,DFFW,Empoli,29.0,1994.0,20.9,8,0,0,40,21,6,23,5,17,0.0,0.0,0,90.0,17.0,37.0,31.5,Matches
241,242,Norbert Gyömbér,sk SVK,DF,Salernitana,31.0,1992.0,19.6,9,0,0,33,17,0,0,23,18,0.0,1.0,1,111.0,31.0,28.0,52.5,Matches
242,243,Nicolas Haas,ch SUI,MF,Empoli,27.0,1996.0,1.0,1,0,0,1,1,0,0,1,3,0.0,0.0,0,9.0,3.0,0.0,100.0,Matches
243,244,Ridgeciano Haps,sr SUR,DF,Genoa,30.0,1993.0,8.6,0,0,0,3,16,1,16,6,6,0.0,0.0,0,33.0,10.0,6.0,62.5,Matches
244,245,Abdou Harroui,nl NED,MFFW,Frosinone,25.0,1998.0,11.3,2,0,0,18,16,1,12,5,11,0.0,0.0,0,53.0,12.0,8.0,60.0,Matches
245,246,Hans Hateboer,nl NED,DF,Atalanta,29.0,1994.0,12.4,5,0,0,16,3,0,34,4,5,0.0,1.0,0,34.0,18.0,11.0,62.1,Matches
246,247,Pantelis Hatzidiakos,gr GRE,DF,Cagliari,26.0,1997.0,9.5,1,0,0,7,4,0,6,13,10,0.0,0.0,0,50.0,5.0,9.0,35.7,Matches
247,248,Silvan Hefti,ch SUI,MFDF,Genoa,25.0,1997.0,1.3,0,0,0,2,1,0,2,0,1,0.0,0.0,0,3.0,2.0,2.0,50.0,Matches
248,249,Liam Henderson,sct SCO,MF,Empoli,27.0,1996.0,0.1,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches
249,250,Matheus Henrique,br BRA,MF,Sassuolo,25.0,1997.0,27.8,8,1,1,21,38,2,26,25,29,0.0,0.0,0,141.0,14.0,12.0,53.8,Matches
250,251,Thomas Henry,fr FRA,FW,Hellas Verona,28.0,1994.0,3.7,2,2,0,15,5,3,3,0,0,0.0,0.0,0,8.0,19.0,20.0,48.7,Matches
251,252,Theo Hernández,fr FRA,DF,Milan,25.0,1997.0,31.0,11,1,0,38,50,2,68,23,17,1.0,1.0,0,172.0,29.0,18.0,61.7,Matches
252,253,Isak Hien,se SWE,DF,Hellas Verona,24.0,1999.0,9.6,1,1,0,11,2,0,0,7,10,0.0,0.0,0,66.0,34.0,24.0,58.6,Matches
253,254,Isak Hien,se SWE,DF,Atalanta,24.0,1999.0,10.4,3,0,0,18,9,2,0,14,12,0.0,0.0,0,60.0,36.0,15.0,70.6,Matches
254,255,Emil Holm,se SWE,DF,Atalanta,23.0,2000.0,10.5,5,0,0,14,21,1,35,7,19,2.0,0.0,0,57.0,28.0,24.0,53.8,Matches
255,256,Martin Hongla,cm CMR,MF,Hellas Verona,25.0,1998.0,12.0,0,0,0,6,6,1,4,7,13,0.0,0.0,0,79.0,9.0,10.0,47.4,Matches
256,257,Sydney van Hooijdonk,nl NED,FW,Bologna,23.0,2000.0,2.4,0,0,0,6,2,1,1,1,0,0.0,0.0,0,3.0,5.0,12.0,29.4,Matches
257,258,Dean Huijsen,es ESP,DF,Roma,18.0,2005.0,5.7,4,0,0,10,2,0,1,4,5,1.0,0.0,1,24.0,9.0,7.0,56.3,Matches
258,259,Dean Huijsen,es ESP,DF,Juventus,18.0,2005.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches
259,260,Elseid Hysaj,al ALB,DF,Lazio,29.0,1994.0,13.3,2,0,0,14,9,3,18,17,14,0.0,0.0,0,72.0,14.0,13.0,51.9,Matches
260,261,Arijon Ibrahimović,de GER,FWDF,Frosinone,17.0,2005.0,5.3,1,0,0,3,4,2,7,1,6,0.0,0.0,0,19.0,5.0,8.0,38.5,Matches
261,262,Jonathan Ikone,fr FRA,FW,Fiorentina,25.0,1998.0,18.7,5,0,0,16,15,5,11,3,11,1.0,0.0,0,60.0,15.0,22.0,40.5,Matches
262,263,Chukwubuikem Ikwuemesi,ng NGA,FW,Salernitana,21.0,2001.0,11.8,2,0,0,35,20,8,2,1,1,0.0,0.0,0,23.0,29.0,59.0,33.0,Matches
263,264,Ivan Ilić,rs SRB,MF,Torino,22.0,2001.0,23.3,3,0,0,24,25,1,91,20,8,0.0,1.0,0,112.0,19.0,19.0,50.0,Matches
264,265,Samuel Iling-Junior,eng ENG,DFMF,Juventus,19.0,2003.0,9.0,1,0,0,15,5,1,46,6,13,0.0,0.0,0,40.0,9.0,3.0,75.0,Matches
265,266,Ciro Immobile,it ITA,FW,Lazio,33.0,1990.0,18.4,8,0,0,22,31,14,7,5,9,2.0,0.0,0,34.0,14.0,28.0,33.3,Matches
266,267,Gino Infantino,ar ARG,MF,Fiorentina,20.0,2003.0,1.1,1,0,0,4,2,0,0,3,1,0.0,0.0,0,2.0,1.0,5.0,16.7,Matches
267,268,Gustav Isaksen,dk DEN,FW,Lazio,22.0,2001.0,11.9,3,0,0,17,24,3,29,4,3,0.0,0.0,0,41.0,4.0,7.0,36.4,Matches
268,269,Ardian Ismajli,al ALB,DF,Empoli,26.0,1996.0,22.7,2,0,0,18,16,0,4,23,16,0.0,1.0,0,72.0,52.0,39.0,57.1,Matches
269,270,Armando Izzo,it ITA,DF,Monza,31.0,1992.0,18.3,9,0,0,32,26,1,3,27,17,0.0,0.0,0,81.0,19.0,20.0,48.7,Matches
270,271,Filip Jagiełło,pl POL,MF,Genoa,25.0,1997.0,0.4,0,0,0,0,0,0,0,1,0,0.0,0.0,0,3.0,0.0,0.0,,Matches
271,272,Jakub Jankto,cz CZE,MFFW,Cagliari,27.0,1996.0,9.7,0,0,0,9,8,1,26,5,9,0.0,0.0,0,33.0,3.0,8.0,27.3,Matches
272,273,Juan Jesus,br BRA,DF,Napoli,32.0,1991.0,23.5,7,0,0,28,9,0,0,23,19,0.0,1.0,0,112.0,47.0,47.0,50.0,Matches
273,274,Alejandro Jiménez,es ESP,DF,Milan,18.0,2005.0,0.8,1,0,0,2,1,0,1,0,1,0.0,0.0,0,2.0,0.0,0.0,,Matches
274,275,Kaio Jorge,br BRA,FW,Frosinone,21.0,2002.0,9.0,2,0,0,8,10,2,3,1,4,0.0,0.0,0,29.0,8.0,23.0,25.8,Matches
275,276,Luka Jović,rs SRB,FW,Milan,25.0,1997.0,9.7,2,1,0,8,12,2,1,1,4,0.0,0.0,0,20.0,17.0,15.0,53.1,Matches
276,277,Hamed Junior Traorè,ci CIV,MF,Napoli,23.0,2000.0,4.2,1,0,0,4,7,1,7,2,2,0.0,0.0,0,20.0,1.0,5.0,16.7,Matches
277,278,Mohamed Kaba,fr FRA,MF,Lecce,21.0,2001.0,15.3,4,1,1,26,21,0,7,12,23,0.0,0.0,0,84.0,21.0,18.0,53.8,Matches
278,279,Christian Kabasele,be BEL,DF,Udinese,32.0,1991.0,9.6,5,0,0,15,9,0,2,12,7,0.0,2.0,0,22.0,26.0,10.0,72.2,Matches
279,280,Yayah Kallon,sl SLE,FW,Hellas Verona,22.0,2001.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Matches
280,281,Pierre Kalulu,fr FRA,DF,Milan,23.0,2000.0,4.2,0,0,0,1,3,0,5,1,1,0.0,0.0,0,15.0,3.0,8.0,27.3,Matches
281,282,Daichi Kamada,jp JPN,MF,Lazio,26.0,1996.0,17.2,3,0,0,39,13,2,11,18,36,0.0,0.0,0,75.0,3.0,16.0,15.8,Matches
282,283,Hassane Kamara,ci CIV,DF,Udinese,29.0,1994.0,24.7,4,0,0,21,8,6,71,26,32,0.0,0.0,0,130.0,16.0,14.0,53.3,Matches
283,284,Yann Karamoh,fr FRA,MFFW,Torino,25.0,1998.0,1.8,0,0,0,2,3,2,5,0,0,0.0,0.0,0,10.0,2.0,2.0,50.0,Matches
284,285,Jesper Karlsson,se SWE,FW,Bologna,25.0,1998.0,3.8,0,0,0,4,1,1,24,4,3,0.0,0.0,0,16.0,0.0,2.0,0.0,Matches
