,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
227,228,Tobias Kempe,de GER,MF,Darmstadt 98,34.0,1989.0,15.0,1,0,0,14,11,0,81,9,13,1,0,0,65,13,20,39.4,Matches
228,229,Rani Khedira,de GER,MF,Union Berlin,29.0,1994.0,14.9,5,1,0,25,14,1,6,22,22,0,1,0,74,19,18,51.4,Matches
229,230,Luca Kilian,de GER,DF,Köln,23.0,1999.0,7.1,1,0,0,4,0,0,1,7,9,0,0,0,24,10,7,58.8,Matches
230,231,Joshua Kimmich,de GER,MFDF,Bayern Munich,28.0,1995.0,24.2,1,1,0,11,24,2,195,14,33,0,0,0,140,5,14,26.3,Matches
231,232,Christoph Klarer,at AUT,DF,Darmstadt 98,23.0,2000.0,26.2,9,0,0,29,13,4,8,21,22,0,0,0,87,42,38,52.5,Matches
232,233,Tim Kleindienst,de GER,FW,Heidenheim,27.0,1995.0,31.9,6,0,0,88,13,16,19,12,12,0,0,0,100,179,117,60.5,Matches
233,234,Lukas Klostermann,de GER,DF,RB Leipzig,27.0,1996.0,16.0,3,0,0,11,5,1,8,13,10,0,0,0,81,16,32,33.3,Matches
234,235,Ansgar Knauff,de GER,MFDF,Eint Frankfurt,21.0,2002.0,23.4,7,1,1,32,24,2,46,20,26,0,3,0,92,23,43,34.8,Matches
235,236,Robin Knoche,de GER,DF,Union Berlin,31.0,1992.0,21.3,1,0,0,10,10,0,3,13,22,0,1,1,152,46,41,52.9,Matches
236,237,Gregor Kobel,ch SUI,GK,Dortmund,25.0,1997.0,26.3,1,0,0,2,3,0,0,0,0,0,2,0,41,5,0,100.0,Matches
237,238,Robin Koch,de GER,DF,Eint Frankfurt,27.0,1996.0,30.4,10,0,0,20,13,0,4,32,23,0,2,0,138,80,50,61.5,Matches
238,239,Dominik Kohr,de GER,DFMF,Mainz 05,29.0,1994.0,24.3,15,1,1,48,26,0,22,43,42,0,0,0,134,42,41,50.6,Matches
239,240,Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,24.0,1998.0,1.7,0,0,0,4,5,0,0,0,0,0,0,0,3,4,5,44.4,Matches
240,241,Mert Kömür,de GER,MFDF,Augsburg,18.0,2005.0,1.3,0,0,0,2,2,0,1,0,3,0,0,0,3,0,1,0.0,Matches
241,242,Manu Koné,fr FRA,MF,Gladbach,22.0,2001.0,17.3,4,1,0,28,35,3,3,15,26,1,1,0,111,21,24,46.7,Matches
242,243,Odilon Kossonou,ci CIV,DF,Leverkusen,22.0,2001.0,20.1,3,0,0,17,7,0,2,27,20,0,0,0,132,23,17,57.5,Matches
243,244,Tomáš Koubek,cz CZE,GK,Augsburg,30.0,1992.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
244,245,Matej Kovar,cz CZE,GK,Leverkusen,23.0,2000.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
245,246,Dawid Kownacki,pl POL,FW,Werder Bremen,26.0,1997.0,4.2,0,0,0,9,9,1,3,0,1,0,0,0,8,29,29,50.0,Matches
246,247,Alex Král,cz CZE,MF,Union Berlin,25.0,1998.0,15.2,2,0,0,16,13,2,17,11,14,0,0,0,85,16,17,48.5,Matches
247,248,Andrej Kramarić,hr CRO,MFFW,Hoffenheim,32.0,1991.0,24.4,4,0,0,8,35,8,113,10,2,1,0,0,113,9,13,40.9,Matches
248,249,Christoph Kramer,de GER,MF,Gladbach,32.0,1991.0,2.8,4,0,0,6,3,0,3,4,5,0,0,0,20,7,7,50.0,Matches
249,250,Frans Krätzig,de GER,DF,Bayern Munich,20.0,2003.0,0.6,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,,Matches
250,251,Tom Krauß,de GER,MF,Mainz 05,22.0,2001.0,15.0,5,0,0,31,16,0,7,17,33,0,0,0,148,15,11,57.7,Matches
251,252,Lukas Kübler,de GER,DF,Freiburg,30.0,1992.0,20.5,7,0,0,19,24,3,21,37,24,0,0,0,113,35,25,58.3,Matches
252,253,Mahmut Kücüksahin,,MF,Augsburg,19.0,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
253,254,Christian Kühlwetter,de GER,MF,Heidenheim,27.0,1996.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches
254,255,Moritz-Broni Kwarteng,gh GHA,FW,Bochum,25.0,1998.0,3.1,1,1,0,5,5,2,5,2,0,0,0,0,18,0,8,0.0,Matches
255,256,Maxence Lacroix,fr FRA,DF,Wolfsburg,23.0,2000.0,26.2,5,3,1,27,19,0,5,24,29,0,0,0,126,64,50,56.1,Matches
256,257,Aïssa Laïdouni,tn TUN,MF,Union Berlin,26.0,1996.0,11.9,2,0,0,20,27,0,22,12,12,0,0,0,80,12,14,46.2,Matches
257,258,Konrad Laimer,at AUT,DFMF,Bayern Munich,26.0,1997.0,19.7,3,0,0,28,15,2,31,18,36,0,0,0,114,12,19,38.7,Matches
258,259,Stefan Lainer,at AUT,DFMF,Gladbach,30.0,1992.0,8.3,2,0,0,8,7,1,19,5,16,0,0,0,33,7,12,36.8,Matches
259,260,Hugo Larsson,se SWE,MF,Eint Frankfurt,19.0,2004.0,21.0,1,0,0,16,2,1,8,29,18,0,0,0,116,9,19,32.1,Matches
260,261,Diogo Leite,pt POR,DF,Union Berlin,24.0,1999.0,30.0,6,0,0,40,31,1,4,47,36,0,2,0,145,71,44,61.7,Matches
261,262,Maxim Leitsch,de GER,DF,Mainz 05,25.0,1998.0,4.2,0,0,0,2,2,0,0,4,3,0,0,0,28,13,6,68.4,Matches
